Latitude,Municipality,Location,Longitude,Count
48.48354,SAANICH,MUNN RD & PROSPECT LAKE RD,-123.441122,16.0
48.53998,SAANICH,WALLACE DR & WILLIS POINT RD,-123.438455,13.0
48.473581,SAANICH,BURNSIDE RD W & PROSPECT LAKE RD,-123.437547,14.0
48.535706,SAANICH,WALLACE DR & WEST SAANICH RD & TURNING LANE,-123.437368,39.0
48.523955,SAANICH,INTERURBAN RD & PROSPECT LAKE RD & SPARTON RD & WEST SAANICH RD & TURNING LANE,-123.431168,55.0
48.468528,SAANICH,BURNSIDE RD W & HELMCKEN RD,-123.423956,65.0
48.469932,SAANICH,HELMCKEN RD & HOLLAND AVE,-123.422542,12.0
48.453492,SAANICH,ADMIRALS RD & CRAIGFLOWER PARK TRAIL & GORGE RD W,-123.420611,42.0
48.46537,SAANICH,BURNSIDE RD W & WILKINSON RD,-123.416011,12.0
48.474956,SAANICH,HELMCKEN RD & SANTA ROSA AVE & WILKINSON RD,-123.412864,12.0
48.509006,SAANICH,OLD WEST SAANICH RD & WEST SAANICH RD,-123.410879,12.0
48.478409,SAANICH,HASTINGS ST & INTERURBAN RD & WILKINSON RD & MALL ACCESS & TURNING LANE,-123.410685,110.0
48.480118,SAANICH,ROY RD & WILKINSON RD,-123.409781,41.0
48.472002,SAANICH,GRANGE RD & INTERURBAN RD,-123.405642,13.0
48.459684,SAANICH,ADMIRALS RD & ADMIRALS RD OFFRAMP & HUNTER ST & MCKENZIE AVE & MCKENZIE AVE OFFRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,-123.404754,255.0
48.463561,SAANICH,BURNSIDE RD W & MARIGOLD RD,-123.404684,15.0
48.486586,SAANICH,CAREY RD & WILKINSON RD,-123.403259,17.0
48.462011,SAANICH,BURNSIDE RD W & MCKENZIE AVE & TURNING LANE,-123.402257,145.0
48.466783,SAANICH,COLQUITZ-CAREY PARK TRAIL & INTERURBAN RD & MARIGOLD RD,-123.401489,28.0
48.48974,SAANICH,MANN AVE & WILKINSON RD,-123.401317,15.0
48.447716,SAANICH,GORGE RD W & TILLICUM RD & TURNING LANE,-123.400421,125.0
48.449987,SAANICH,OBED AVE & TILLICUM RD,-123.397953,17.0
48.463795,SAANICH,COLUMBINE WAY & INTERURBAN RD,-123.396735,17.0
48.451857,SAANICH,ARENA RD & MADDOCK AVE W & TILLICUM RD,-123.395831,49.0
48.457153,SAANICH,BURNSIDE RD W & BURNSIDE RD W OFFRAMP & COLQUITZ RIVER TRAIL & CUTHBERT HOLMES PARK TRAIL & TRANS-CANADA HWY,-123.394947,17.0
48.461219,SAANICH,DUMERESQ ST & INTERURBAN RD,-123.394688,11.0
48.458752,SAANICH,BURNSIDE RD W & INTERURBAN RD,-123.394649,29.0
48.498263,SAANICH,ROYAL OAK DR & WEST SAANICH RD & WILKINSON RD,-123.393955,47.0
48.454222,SAANICH,BURNSIDE RD W & TILLICUM RD & TURNING LANE,-123.393141,143.0
48.466469,SAANICH,CAREY RD & MCKENZIE AVE & TURNING LANE,-123.391967,55.0
48.456639,SAANICH,REGINA AVE & TILLICUM RD,-123.391687,15.0
48.452868,SAANICH,BURNSIDE RD W & ORILLIA ST,-123.391261,17.0
48.544274,SAANICH,OLD EAST RD & PATRICIA BAY HWY & TURNING LANE,-123.390638,11.0
48.443908,SAANICH,GORGE RD E & GORGE RD W & HARRIET RD,-123.390479,46.0
48.458097,SAANICH,GALLOPING GOOSE TRAIL & TILLICUM RD & TRANS-CANADA HWY & TURNING LANE,-123.390399,188.0
48.48169,SAANICH,GLANFORD AVE & VANALMAN AVE,-123.390314,39.0
48.49627,SAANICH,ELK LAKE DR & WEST SAANICH RD,-123.38995,11.0
48.452039,SAANICH,BURNSIDE RD W & SEATON ST,-123.389733,11.0
48.537577,SAANICH,PATRICIA BAY HWY & SAYWARD RD & TURNING LANE,-123.389272,235.0
48.45946,SAANICH,CADILLAC AVE & TILLICUM RD,-123.389226,11.0
48.494953,SAANICH,VIEWMONT AVE & WEST SAANICH RD,-123.3887,18.0
48.499079,SAANICH,ELK LAKE DR & ROYAL OAK DR & TURNING LANE,-123.388034,58.0
48.466915,SAANICH,GLANFORD AVE & MCKENZIE AVE & TURNING LANE,-123.387991,177.0
48.464383,SAANICH,CAREY RD & GLANFORD AVE & RALPH ST,-123.38731,20.0
48.450774,SAANICH,BURNSIDE RD W & WASCANA ST,-123.387249,17.0
48.487491,SAANICH,FERRIE RD & GLANFORD AVE & QUADRA ST & WEST SAANICH RD & TURNING LANE,-123.386588,33.0
48.463355,SAANICH,CAREY RD & TILLICUM RD,-123.385842,24.0
48.498807,SAANICH,PATRICIA BAY HWY & ROYAL OAK DR,-123.385291,17.0
48.498849,SAANICH,PATRICIA BAY HWY & ROYAL OAK DR & ROYAL OAK DR OFFRAMP & ROYAL OAK DR ONRAMP,-123.385139,127.0
48.518128,SAANICH,CLAREMONT AVE & PATRICIA BAY HWY & TURNING LANE,-123.384963,26.0
48.486816,SAANICH,PATRICIA BAY HWY & QUADRA ST & QUADRA ST OFFRAMP & QUADRA ST ONRAMP,-123.384766,31.0
48.44945,SAANICH,BURNSIDE RD E & BURNSIDE RD W & HARRIET RD,-123.384629,97.0
48.51428,SAANICH,CHERRY TREE BEND & ELK LAKE DR & HALIBURTON RD & PATRICIA BAY HWY & TURNING LANE,-123.384319,160.0
48.448893,SAANICH,BURNSIDE RD E & IRMA ST,-123.383526,22.0
48.485894,SAANICH,CHATTERTON WAY & QUADRA ST,-123.382418,30.0
48.498442,SAANICH,FALAISE DR & ROYAL OAK DR,-123.38164,23.0
48.484331,SAANICH,CAEN RD & QUADRA ST,-123.380476,11.0
48.446959,SAANICH,BURNSIDE RD E & DUPPLIN RD & WASHINGTON AVE,-123.379624,19.0
48.497891,SAANICH,CHATTERTON WAY & ROYAL OAK DR,-123.379468,20.0
48.531392,SAANICH,CORDOVA BAY RD & SAYWARD HILL CRES,-123.379296,11.0
48.459373,SAANICH,BLANSHARD ST & PATRICIA BAY HWY & VERNON AVE & ACCESS ROAD,-123.377663,41.0
48.456367,SAANICH,CAREY RD & RAVINE WAY,-123.377478,26.0
48.454982,SAANICH,CAREY RD & DOUGLAS ST & TRANS-CANADA HWY & TURNING LANE,-123.377229,34.0
48.468482,SAANICH,MCKENZIE AVE & RAINBOW ST,-123.377217,12.0
48.457338,SAANICH,BLANSHARD ST & RAVINE WAY,-123.376479,118.0
48.452759,SAANICH,BOLESKINE RD & DOUGLAS ST & SAANICH RD & TURNING LANE,-123.375427,240.0
48.458352,SAANICH,RAVINE WAY & VERNON AVE,-123.375411,11.0
48.453671,SAANICH,SAANICH RD # 003400 TO 003459,-123.374622,14.0
48.450951,SAANICH,ARDERSIER RD & AUDLEY ST & DOUGLAS ST & TURNING LANE,-123.374378,26.0
48.454201,SAANICH,OAK ST & SAANICH RD & UPTOWN BLVD & TURNING LANE,-123.374304,139.0
48.47622,SAANICH,AMBASSADOR AVE & QUADRA ST,-123.373394,11.0
48.449256,SAANICH,CLOVERDALE AVE & DOUGLAS ST & KELVIN RD,-123.373348,88.0
48.468957,SAANICH,MCKENZIE AVE & NELTHORPE ST,-123.373245,28.0
48.448727,SAANICH,DOUGLAS ST & RODERICK ST,-123.373006,13.0
48.448255,SAANICH,DOUGLAS ST & DUPPLIN RD,-123.372715,12.0
48.44774,SAANICH,DOUGLAS ST & TOLMIE AVE & TOLMIE LANE & TURNING LANE,-123.372381,106.0
48.455214,SAANICH,BLANSHARD ST & SAANICH RD & TURNING LANE,-123.37208,274.0
48.474249,SAANICH,NICHOLSON ST & QUADRA ST,-123.371482,11.0
48.469235,SAANICH,MCKENZIE AVE & SAANICH RD,-123.371019,87.0
48.450338,SAANICH,CLOVERDALE AVE & OAK ST,-123.371009,32.0
48.455847,SAANICH,SAANICH RD & VERNON AVE & TURNING LANE,-123.37085,44.0
48.473268,SAANICH,QUADRA ST & SAANICH RD,-123.370183,13.0
48.450974,SAANICH,BLANSHARD ST & CLOVERDALE AVE & TURNING LANE,-123.369658,98.0
48.456362,SAANICH,CALUMET AVE & SAANICH RD & TATTERSALL DR & TURNING LANE,-123.369465,33.0
48.448248,SAANICH,BLANSHARD ST & TOLMIE AVE,-123.368003,69.0
48.499604,SAANICH,EMILY CARR DR & ROYAL OAK DR,-123.367349,13.0
48.470029,SAANICH,MCKENZIE AVE & QUADRA ST,-123.364594,233.0
48.457194,SAANICH,SAVANNAH AVE & TATTERSALL DR,-123.363297,11.0
48.468016,SAANICH,GREENRIDGE CRES & LOCHSIDE TRAIL & QUADRA ST,-123.36298,15.0
48.501371,SAANICH,LOCHSIDE DR & ROYAL OAK DR,-123.361962,16.0
48.448964,SAANICH,QUADRA ST & TOLMIE AVE,-123.36189,20.0
48.466399,SAANICH,QUADRA ST & REYNOLDS RD,-123.361649,32.0
48.47043,SAANICH,BORDEN ST & LOCHSIDE TRAIL & MCKENZIE AVE,-123.361205,97.0
48.451798,SAANICH,INVERNESS RD & QUADRA ST,-123.360879,16.0
48.466623,SAANICH,BORDEN ST & REYNOLDS RD,-123.360043,12.0
48.457598,SAANICH,QUADRA ST & TATTERSALL DR,-123.359853,81.0
48.455721,SAANICH,CLOVERDALE AVE & COOK ST & QUADRA ST,-123.35945,83.0
48.470936,SAANICH,CEDAR HILL CROSS RD & MCKENZIE AVE,-123.357358,14.0
48.471398,SAANICH,CENTURY RD & MCKENZIE AVE,-123.355089,15.0
48.503718,SAANICH,BLENKINSOP RD & CORDOVA BAY RD & ROYAL OAK DR,-123.354252,47.0
48.476962,SAANICH,BLENKINSOP RD & MOUNT DOUGLAS CROSS RD,-123.352668,18.0
48.467846,SAANICH,CEDAR HILL CROSS RD & REYNOLDS RD,-123.35172,14.0
48.471918,SAANICH,BLENKINSOP RD & MCKENZIE AVE,-123.351156,93.0
48.458895,SAANICH,BLENKINSOP RD & MAPLEWOOD RD & TATTERSALL DR,-123.350936,18.0
48.450224,SAANICH,COOK ST & MAPLEWOOD RD & TOLMIE AVE & TURNING LANE,-123.350893,18.0
48.464838,SAANICH,BLENKINSOP RD & UNION RD,-123.350126,16.0
48.466918,SAANICH,BLENKINSOP RD & CEDAR HILL CROSS RD & TURNING LANE,-123.34974,33.0
48.471924,SAANICH,BRAEFOOT RD & MCKENZIE AVE,-123.346856,21.0
48.465106,SAANICH,BRAEFOOT RD & CEDAR HILL CROSS RD & EPSOM DR,-123.34449,18.0
48.448343,SAANICH,CEDAR HILL GOLF COURSE TRAIL & CEDAR HILL RD & FINLAYSON ST & NORTH DAIRY RD,-123.343944,97.0
48.448276,SAANICH,DONCASTER DR & NORTH DAIRY RD,-123.341636,24.0
48.455183,SAANICH,CEDAR HILL RD & DERBY RD,-123.339583,11.0
48.490813,SAANICH,CEDAR HILL RD & CHURCHILL DR & MOUNT DOUGLAS PARK TRAIL & SHELBOURNE ST,-123.337954,35.0
48.462666,SAANICH,CEDAR HILL CROSS RD & CEDAR HILL RD,-123.336984,65.0
48.484117,SAANICH,KENMORE RD & SHELBOURNE ST,-123.336959,19.0
48.49489,SAANICH,ASH RD & CEDAR HILL RD & CORDOVA BAY RD,-123.335455,33.0
48.468644,SAANICH,CEDAR HILL RD & MCKENZIE AVE,-123.335332,101.0
48.461976,SAANICH,CEDAR HILL CROSS RD & OPHIR ST,-123.334993,13.0
48.477105,SAANICH,SHELBOURNE ST & TORQUAY DR,-123.333365,13.0
48.448149,SAANICH,NORTH DAIRY RD & SHELBOURNE ST,-123.333189,87.0
48.450562,SAANICH,MCRAE AVE & SHELBOURNE ST,-123.333137,34.0
48.456094,SAANICH,CEDAR AVE & SHELBOURNE ST,-123.333042,16.0
48.458486,SAANICH,PEAR ST & SHELBOURNE ST,-123.332973,31.0
48.461268,SAANICH,CEDAR HILL CROSS RD & SHELBOURNE ST,-123.332958,102.0
48.464992,SAANICH,MORTIMER ST & SHELBOURNE ST,-123.332822,27.0
48.476017,SAANICH,FELTHAM RD & SHELBOURNE ST,-123.332814,50.0
48.46774,SAANICH,GARNET RD & SHELBOURNE ST,-123.332755,19.0
48.468632,SAANICH,MCKENZIE AVE & SHELBOURNE ST,-123.332734,173.0
48.472922,SAANICH,BLAIR AVE & SHELBOURNE ST,-123.332611,17.0
48.460393,SAANICH,CEDAR HILL CROSS RD & RICHMOND RD & ST AIDANS ST,-123.330331,13.0
48.433644,SAANICH,BAY ST & RICHMOND RD,-123.329192,57.0
48.460385,SAANICH,CEDAR HILL CROSS RD & PALO ALTO ST & POPLAR AVE,-123.32911,17.0
48.435929,SAANICH,HAULTAIN ST & RICHMOND RD,-123.328703,14.0
48.446149,SAANICH,LANSDOWNE RD & RICHMOND RD,-123.326528,60.0
48.468591,SAANICH,LARCHWOOD DR & MCKENZIE AVE,-123.324585,22.0
48.476014,SAANICH,FELTHAM RD & TYNDALL AVE,-123.323042,21.0
48.441967,SAANICH,FOUL BAY RD & NEIL ST,-123.321957,12.0
48.446103,SAANICH,FOUL BAY RD & LANSDOWNE RD,-123.321793,56.0
48.460476,SAANICH,CEDAR HILL CROSS RD & GORDON HEAD RD,-123.320933,29.0
48.468569,SAANICH,GORDON HEAD RD & MCKENZIE AVE & TURNING LANE,-123.319482,85.0
48.46896,SAANICH,MCKENZIE AVE & PHOENIX RD & VIKES WAY,-123.311905,14.0
48.475759,SAANICH,FELTHAM RD & GORDON HEAD RD & GRADUATION PL,-123.31166,15.0
48.467008,SAANICH,FINNERTY RD & MCKENZIE AVE & SINCLAIR RD,-123.307635,15.0
48.479472,SAANICH,ARBUTUS RD & GORDON HEAD RD,-123.307333,13.0
48.456647,SAANICH,BEACH DR & CADBORO BAY RD & HIBBENS CLOSE,-123.300497,16.0
48.461001,SAANICH,CADBORO BAY RD & SINCLAIR RD,-123.297602,23.0
